"Player","Hands","BB/100","VPIP","CC 2Bet PF","PFR","3Bet F","Fold to 3Bet","Flop AF","Donk F","CBet F","Fold to F CBet","XR Flop","Bet T","Bet R","Call R Bet","WTSD %","WSD"
"1n5aNi7y","2,164","-156.00","69.24","43.95","35.24","8.57","27.61","1.16","18.52","52.15","48.31","0.68","35.18","39.61","20.17","32.28","44.47"
"1netaz","982","-133.52","76.16","62.63","9.27","7.89","35.48","0.88","24.24","39.58","52.78","6.41","37.47","57.95","28.71","31.16","40.17"
"1nter$tellar","1,374","-70.68","41.12","30.65","18.06","8.33","41.51","1.95","7.41","70.31","43.90","12.90","31.18","31.18","43.90","33.33","52.11"
"1Re@per19","861","-92.61","54.40","34.95","18.74","6.25","47.83","2.95","42.40","86.67","56.96","2.70","47.95","43.33","26.83","31.68","40.30"
"1ringtorule","1,461","-11.76","48.85","20.55","27.11","4.17","59.76","1.47","8.33","44.39","45.79","2.98","41.36","47.41","29.41","29.88","41.21"
"1rmitchell0630","7,374","-61.50","66.19","43.29","22.00","5.93","45.34","2.93","37.81","81.77","47.50","7.87","56.36","56.79","22.43","27.11","38.24"
"1RUNG00D","21,797","-3.94","22.22","13.01","16.30","13.38","70.78","2.68","0.55","76.87","49.85","7.75","40.40","30.54","39.89","29.09","50.67"
"1S1LLYRABB1T","24,904","-12.26","18.22","12.57","0.64","3.85","85.91","0.54","1.21","89.86","45.34","1.72","22.74","18.86","40.29","33.91","61.53"
"1shappy","9,606","-5.35","36.69","25.05","13.79","2.50","66.08","1.41","8.68","55.19","58.46","1.88","34.62","35.23","25.78","26.26","53.44"
"1snafubar","1,497","-19.94","37.57","17.32","6.26","0.00","60.00","0.98","6.54","62.00","36.05","5.03","28.62","28.11","33.68","31.81","44.98"
"1st_of_Four","832","7.46","39.42","17.81","6.69","12.50","76.00","1.18","16.33","28.57","61.76","5.95","25.99","56.14","36.96","28.90","47.06"
"1stJoem13","723","-60.06","37.39","29.89","20.99","33.33","47.37","1.26","3.17","57.45","50.82","7.14","32.94","30.36","38.10","28.78","47.46"
"1SuperAcross","508","-85.43","60.16","39.58","9.96","6.67","29.41","1.78","38.89","61.54","35.09","1.85","33.77","38.14","34.88","41.55","42.28"
"1Sweet_Thang1","1,116","-37.87","21.83","8.33","12.95","0.00","77.08","2.25","0.00","53.33","65.00","6.12","35.29","42.22","37.50","23.08","51.11"
"1tln Stromboli","2,238","-11.74","33.23","16.02","19.07","14.29","53.64","1.67","2.17","66.67","48.31","3.98","33.15","31.72","45.74","32.39","49.31"
"2%DOGtilRIVER","6,945","-6.07","46.82","33.97","13.65","7.41","45.89","1.05","3.02","71.14","47.09","3.22","32.72","34.48","44.20","33.36","46.85"
"2000DRAGONS","52,226","-22.94","63.21","47.48","16.13","6.97","65.85","1.57","1.83","80.62","49.29","6.60","36.27","36.87","35.30","27.59","46.36"
"2000Superjet","671","-179.40","66.52","54.00","7.47","4.55","26.09","0.66","10.48","30.00","28.16","7.08","55.64","64.12","43.37","41.15","37.50"
"2001alicja","3,089","3.84","57.80","41.01","11.17","9.26","52.38","1.34","16.75","77.11","48.21","4.71","37.63","50.52","40.77","32.43","48.26"
"2004Wrx001","2,132","2.33","45.84","26.75","16.80","19.05","66.26","2.34","15.58","57.36","47.78","8.55","49.04","39.19","26.39","25.07","43.65"
"200TREE","1,113","-42.13","39.65","21.15","9.44","7.14","53.33","1.18","14.00","63.64","55.56","2.86","26.92","47.65","35.38","30.67","46.00"
"200WstSt","625","-2.14","40.83","29.73","3.81","0.00","55.00","1.65","20.00","61.54","64.52","4.17","24.29","22.58","35.00","31.18","59.76"
"201805721","883","-116.85","80.00","78.87","1.27","3.17","30.56","0.77","28.57","40.00","41.18","2.00","44.84","55.59","27.91","38.54","44.93"
"2020db","755","49.10","43.89","21.59","9.13","0.00","59.38","0.94","6.90","46.88","50.00","4.62","40.91","65.00","28.85","25.08","58.97"
"2020mori","937","-147.04","48.70","30.43","18.50","9.30","59.57","2.27","55.71","70.87","43.75","12.50","52.19","58.33","36.99","25.74","36.07"
"202469972k","1,765","-82.41","32.77","16.67","6.87","21.05","53.97","2.65","28.68","72.37","56.19","7.56","51.74","51.83","38.00","27.33","36.59"
"203mph","557","29.62","54.65","33.33","5.40","0.00","58.82","1.22","19.70","83.33","51.79","1.92","34.34","37.10","26.42","34.97","42.06"
"205atl","42,323","-23.16","29.69","22.27","4.64","2.27","68.65","1.23","22.40","68.10","36.32","1.41","30.25","19.96","32.87","34.31","55.13"
"20hymsono","1,445","-67.33","59.43","45.22","14.07","12.50","48.57","1.95","36.57","60.00","55.48","4.80","46.02","56.63","21.35","26.11","42.93"
"20JR20JR","1,083","-33.79","50.24","33.00","10.31","10.00","48.72","0.93","0.90","66.67","48.42","5.77","28.95","32.49","40.00","35.53","48.97"
"20oleg","1,705","-47.91","65.76","50.00","20.20","3.48","31.82","2.05","53.80","83.08","58.46","0.00","47.10","54.93","28.93","31.62","49.19"
"20redwheeler19","2,193","-14.74","34.51","25.31","2.10","0.00","62.96","0.36","1.91","50.00","54.97","4.44","16.03","42.32","28.26","32.87","54.37"
