Player,Hands,BB/100,VPIP,PFR,3Bet F,Fold to 3Bet,Flop AF,Donk F,CBet F,Fold to F CBet,XR Flop,Bet T,Bet R,Call R Bet,WTSD %,WSD
player18242,"1,383",-115.79,63.95,29.38,10.26,34.74,2.12,37.31,59.8,45.93,4.03,44.27,54.65,23,33.52,38.37
player18243,"1,356",-18.84,57.63,11.33,5.56,50.88,3.95,44.88,83.33,65.22,12.22,63.74,49.79,10.26,22.8,46.02
player18244,"1,403",-24.52,44.97,28.61,0,33.91,1.65,19.88,61.11,31.09,1.72,40.21,52.63,39.29,31.33,41.67
player18245,"3,054",-76.82,75.01,16.16,5.92,38.33,1.3,13.81,75.25,40.81,3.5,50.91,43.78,31.26,36.27,48.66
player18246,"8,744",-8.5,32.01,4.4,3.1,68.72,1.04,4.62,54.19,66.89,1.9,29.66,22.93,27.41,27.72,59.09
player18247,"10,721",-36.6,50.18,2.83,5.6,68.38,1.5,25.7,72.41,62.95,2.13,32.19,41.19,35.83,32.11,46.67
player18248,804,65.32,29.38,7.32,0,53.85,1.54,20.59,61.11,51.72,0,44.37,41.18,41.3,29.69,44.83
player18249,"1,159",4.43,37.15,1.41,10.53,85,1.03,12.2,50,56.52,1.82,39.17,61.35,26.98,24.08,53.23
player18250,600,-77.75,64.92,10.6,12.5,46.15,1.03,9.3,58.33,57.14,1.23,36.73,11.67,28.99,30.07,59.35
player18251,"1,590",-54.97,37.37,7.84,0,69.03,0.99,16.13,37.93,46.02,3.54,33.33,43.68,34.29,30.49,45.96
player18252,"1,347",12.5,47.69,16.73,0,46.88,1.43,4.13,70.54,46.43,5.56,42.95,57.21,43.96,31.8,46.11
player18253,"1,441",29.63,27.73,3.11,0,90.48,0.54,1.92,66.67,51.06,2.94,24.9,22.22,32.97,33.66,61.4
player18254,569,-24.81,84.45,4.7,4.17,61.54,0.47,19.08,37.5,53.13,0.98,32.05,53.3,40.3,37.5,46.55
player18255,959,-26.14,57.75,29.3,0,54.44,1.4,10.61,62.7,41.35,4.31,51.23,51.53,46.34,33.63,44.44
player18256,512,-54.47,55.01,1.38,9.09,79.17,1.17,28,75,68.75,0,44.85,60,16.67,24.84,37.66
player18257,"3,278",-9.53,35.23,12.7,13.73,53.33,4.93,36.21,72.49,56.15,16.67,48.47,38.41,24.21,27.07,45.83
player18258,"4,780",-79.87,67.04,10.51,6.74,58.93,1.18,13.84,52.94,61.13,1.49,21.51,29.21,28.19,30.52,47.19
player18259,935,14.51,56.52,25.9,33.33,37.25,1.61,1.11,54.89,35.37,10.43,40.98,37.24,36.36,32.02,48.39
player18260,"1,245",44.32,31.67,10.7,0,69.64,0.92,3.31,37.04,56.25,3.33,26.79,30.56,34.04,24.43,62.35
player18261,"36,839",7.37,24.96,18.14,6.25,58.16,1.8,2.58,59.92,47.01,4.27,31.1,26.9,40.21,32.29,54.25
