,player,hands,bb_100,vpip,cc_2bet_pf,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
4713,dskayhan,1901.0,-27.05,23.32,15.76,4.85,6.67,66.67,3.55,19.32,87.76,73.53,0.0,33.05,25.61,24.39,27.39,48.25,5,The Moderate Aggressor
4715,dsmeeblee24,1178.0,-50.29,28.35,25.87,15.22,0.0,60.76,1.38,0.0,88.24,43.82,4.76,29.08,29.21,43.59,34.14,41.18,2,The Hyper-aggro Maniacs
4716,dsnook2545,2497.0,-40.63,36.34,18.98,5.94,12.12,66.67,1.54,22.58,55.26,52.9,1.0,46.7,37.23,33.85,29.19,43.73,2,The Hyper-aggro Maniacs
4717,dspike00,1577.0,-49.01,65.71,52.53,5.48,4.35,39.34,1.88,40.0,81.63,54.12,4.24,59.39,71.43,47.58,28.91,36.72,4,The Loose Aggro Fish
4718,dss144,2210.0,-25.4,30.61,16.84,4.21,13.33,80.0,1.33,3.13,81.82,44.85,4.02,27.87,36.99,25.29,27.2,47.4,2,The Hyper-aggro Maniacs
4721,dsw101010,3142.0,-172.78,80.19,68.84,3.54,4.17,53.57,0.54,13.16,62.0,51.37,0.64,16.08,26.45,44.16,38.16,38.45,3,The Tight Passive
4723,dsweeney1111,1095.0,-88.25,66.08,54.76,22.68,1.75,37.35,3.75,77.23,87.82,56.76,0.0,75.31,67.71,25.33,26.27,32.04,6,The Big-Betting Fish
4725,DT498WEa,4712.0,-20.13,40.82,33.76,0.43,3.74,57.86,1.36,28.48,100.0,69.17,0.48,31.65,29.55,36.27,32.96,59.23,5,The Moderate Aggressor
4727,Dtillman973,5474.0,-31.63,41.34,20.91,13.0,27.27,60.87,5.03,37.8,83.76,62.12,2.46,43.66,34.48,29.79,27.98,47.08,4,The Loose Aggro Fish
4728,DTon2191,4679.0,-37.03,44.93,36.48,18.68,6.45,54.79,2.09,22.63,66.36,38.46,7.82,52.33,50.18,26.13,29.58,41.75,4,The Loose Aggro Fish
4729,dtt37,5406.0,-15.3,29.25,7.87,23.77,10.64,62.31,2.2,4.15,53.67,46.75,10.12,39.27,35.95,42.44,31.75,48.31,2,The Hyper-aggro Maniacs
4730,DTWild412,4326.0,-15.88,31.32,19.68,8.72,0.0,75.61,1.26,5.65,71.81,48.8,1.62,33.33,40.1,30.5,27.39,44.68,5,The Moderate Aggressor
4731,Dub068,1092.0,39.41,47.48,40.41,11.76,11.11,62.75,1.86,19.35,75.41,34.65,5.66,58.1,66.04,25.53,26.04,43.51,5,The Moderate Aggressor
4732,dub248,18524.0,1.06,37.58,25.98,10.52,6.45,78.03,1.63,0.6,44.06,45.96,8.65,38.09,34.48,27.55,24.58,57.65,0,The Loose Passive Fish
4733,dubba083112,5970.0,-42.81,56.88,40.24,18.43,6.5,43.44,2.39,26.58,75.67,54.37,4.75,45.65,31.06,38.73,31.18,42.94,4,The Loose Aggro Fish
4734,dubbadell,1061.0,42.64,40.74,13.01,25.83,0.0,64.13,1.58,0.0,70.93,40.74,5.41,46.58,49.0,44.0,28.68,36.84,0,The Loose Passive Fish
4735,Dubby425,3008.0,-27.63,44.85,28.66,2.23,5.56,80.77,1.17,17.54,50.0,44.97,9.09,33.96,43.4,38.5,33.21,51.68,2,The Hyper-aggro Maniacs
4736,dubctopearner,2548.0,-39.04,46.28,38.13,13.93,19.23,47.62,1.66,15.49,60.63,53.2,3.27,29.39,37.08,27.97,29.25,42.86,2,The Hyper-aggro Maniacs
4738,DubMySpec,3028.0,-48.64,32.7,16.36,21.09,31.03,48.0,2.23,35.53,47.24,40.2,0.8,34.33,41.19,42.48,39.68,38.6,1,The Solid Regs
4740,dubp53,6411.0,-3.24,25.44,16.19,14.22,13.89,67.78,1.39,1.87,63.18,37.5,4.75,27.33,30.43,42.0,30.72,50.36,0,The Loose Passive Fish
4741,dubsesq,5521.0,-2.86,31.5,16.47,19.63,30.0,63.29,2.48,1.6,71.21,47.77,10.64,42.15,37.92,50.0,33.36,44.52,0,The Loose Passive Fish
4742,dubsterrrr88,1272.0,13.95,59.09,17.58,41.3,16.13,35.16,3.89,11.54,76.55,45.61,15.57,47.59,47.46,24.71,28.99,46.0,5,The Moderate Aggressor
4743,DubyaV,1036.0,-195.71,69.14,36.99,46.88,17.65,33.73,2.07,8.49,70.82,25.0,8.2,53.04,54.04,48.75,38.27,33.91,3,The Tight Passive
4745,DucesNeverLoses,20921.0,-2.78,20.98,2.26,17.59,12.86,76.92,1.99,0.35,49.1,46.22,2.95,36.19,29.75,27.39,27.3,59.53,0,The Loose Passive Fish
4746,DuckDuckDoge,35515.0,7.85,31.89,10.31,20.68,6.42,73.12,2.96,0.32,78.08,41.22,7.32,31.27,35.5,27.92,27.09,53.56,0,The Loose Passive Fish
4748,DuckFan94,1602.0,-28.55,48.29,29.71,13.67,10.0,42.19,1.06,8.96,52.85,43.75,1.25,32.93,28.41,37.32,36.18,46.18,2,The Hyper-aggro Maniacs
4749,DuckGang1,3357.0,-106.8,50.5,21.89,20.99,4.05,44.23,3.0,42.11,61.27,43.5,7.43,53.95,59.89,28.66,29.99,34.81,6,The Big-Betting Fish
4750,Duckpooop,4118.0,-36.11,55.15,39.62,4.0,0.98,48.51,0.61,17.69,25.45,63.77,0.49,43.38,43.64,19.31,23.99,44.52,2,The Hyper-aggro Maniacs
4752,DuckyDiamonds,1247.0,-166.31,60.29,40.87,16.04,10.71,40.96,3.13,29.41,75.83,53.04,8.85,47.81,50.24,26.39,27.85,37.56,3,The Tight Passive
4753,DuckyDucky105,1169.0,-26.31,44.51,36.28,3.08,0.0,64.71,0.66,6.29,81.25,52.21,0.68,27.08,25.36,51.11,36.53,51.55,2,The Hyper-aggro Maniacs
4755,Dudacris369,3889.0,17.88,27.86,13.16,24.51,3.33,64.58,3.73,0.0,67.42,40.57,2.52,37.06,27.97,36.04,29.82,56.39,0,The Loose Passive Fish
4756,dude_abldes,8782.0,6.23,19.13,10.37,9.07,21.21,75.2,4.32,28.89,65.18,50.79,3.25,47.12,22.98,43.68,28.06,56.59,0,The Loose Passive Fish
4759,DudePal14,2002.0,9.92,50.87,39.19,1.18,0.0,84.95,1.2,2.86,85.71,52.26,4.02,42.57,41.47,28.26,27.81,49.09,5,The Moderate Aggressor
4761,Dueces Wi424,2312.0,-128.38,75.59,64.96,11.41,4.76,41.35,1.03,23.47,62.41,48.79,2.77,26.92,36.21,42.77,38.06,40.49,6,The Big-Betting Fish
4762,dueceseven100,1144.0,-174.42,66.76,50.0,15.36,10.64,32.14,2.08,39.06,76.74,50.91,4.8,43.55,35.39,43.86,31.62,41.27,3,The Tight Passive
4763,DUEYSDANK,3962.0,18.84,46.51,30.73,19.03,17.28,48.28,3.72,18.6,70.55,61.09,6.74,54.87,51.21,21.51,23.75,44.08,5,The Moderate Aggressor
4764,dufckd9700,2492.0,-10.93,24.26,16.08,4.69,8.33,88.51,1.12,0.81,70.49,48.82,2.03,28.26,23.6,35.8,27.77,45.4,0,The Loose Passive Fish
4765,DuffyLaw,1731.0,-28.39,40.56,34.52,20.46,9.09,29.29,1.19,17.09,53.71,56.56,0.0,31.0,38.4,52.48,37.86,50.38,2,The Hyper-aggro Maniacs
4767,dugstine4556,2459.0,2.86,45.16,25.0,20.21,7.32,58.14,1.4,9.56,62.8,47.24,3.85,46.13,50.14,29.91,26.85,50.7,5,The Moderate Aggressor
