,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
5807,gen90man,11736.0,-65.47,55.96,20.66,9.71,37.75,2.21,38.29,66.62,41.32,13.22,49.53,39.56,36.18,33.14,40.52,1,Loose Passive Callers
5809,GeneraLafayette,1318.0,-107.12,51.97,11.81,2.27,33.87,1.2,7.83,77.17,41.79,4.88,48.65,58.65,48.86,32.09,37.05,6,Loose Aggro Fish
5810,GENERALIROHH,92091.0,5.22,24.49,21.05,6.17,76.78,2.92,0.16,70.11,38.68,14.94,33.44,40.82,33.13,30.7,54.27,0,Balanced Semi-Loose Players
5811,GeneralSpanks,61328.0,-12.18,38.4,19.18,8.06,49.58,1.29,2.95,58.65,47.49,2.58,31.62,29.69,33.96,29.04,48.31,2,Semi-Loose Neutral Players
5812,genericname987,11314.0,-6.32,27.99,20.07,3.61,74.73,3.65,11.02,62.53,57.39,7.97,42.26,26.64,35.1,25.72,48.98,0,Balanced Semi-Loose Players
5813,Genghis1966,1796.0,-38.51,36.62,15.42,2.27,50.0,4.72,45.61,74.19,71.83,1.08,46.89,52.06,35.06,23.82,52.63,4,Overly Aggressive Semi-Loose Players
5814,genie9110,1392.0,-60.99,59.51,17.13,16.67,38.46,2.31,43.36,75.66,36.36,12.88,48.05,55.03,33.33,35.58,45.85,4,Overly Aggressive Semi-Loose Players
5815,Genius10304,2629.0,-39.66,45.39,30.81,3.57,60.48,1.86,1.63,58.95,34.39,6.67,40.94,36.79,42.97,30.69,46.08,2,Semi-Loose Neutral Players
5816,geno464,3891.0,-77.67,65.86,6.8,7.0,48.62,0.61,12.21,62.1,39.9,1.25,21.8,20.11,42.18,43.4,50.22,1,Loose Passive Callers
5817,gentlebreeze13,1438.0,16.45,32.14,24.25,0.0,74.03,2.64,0.0,76.77,34.69,0.0,30.52,34.0,47.62,30.39,51.61,0,Balanced Semi-Loose Players
5818,genuflect,4248.0,-20.95,29.52,3.54,11.9,83.44,2.04,16.5,76.39,45.56,4.55,27.6,34.5,30.94,30.32,46.74,2,Semi-Loose Neutral Players
5819,GeoCan14,2239.0,-43.51,34.62,16.77,2.04,43.93,3.04,26.73,59.05,68.04,1.22,57.32,66.26,33.33,19.67,41.42,4,Overly Aggressive Semi-Loose Players
5820,geomk1970,3457.0,-65.05,53.14,9.86,6.96,39.83,2.64,55.24,85.12,58.64,3.57,51.37,45.01,23.97,34.27,46.35,4,Overly Aggressive Semi-Loose Players
5821,Georain65,2523.0,-26.79,59.84,1.41,0.95,65.15,1.09,27.07,90.0,60.16,1.63,37.89,40.96,39.48,33.92,45.74,4,Overly Aggressive Semi-Loose Players
